ID,position,base_type,control_coverage,control_misC,control_C_reads,control_T_reads,treatment_coverage,treatment_misC,treatment_C_reads,treatment_T_reads
MALAT1_F,114,T,1165.0,0.0060085836909871,7.0,1158.0,2448.0,0.0106209150326797,26.0,2422.0
MALAT1_F,115,T,1165.0,0.0137339055793991,16.0,1149.0,2448.0,0.0102124183006535,25.0,2423.0
MALAT1_F,117,T,1165.0,0.0678111587982832,78.99999999999999,1086.0,2448.0,0.0510620915032679,125.0,2323.0
MALAT1_F,118,T,1165.0,0.0188841201716738,22.0,1143.0,2448.0,0.0208333333333333,51.0,2397.0
MALAT1_F,121,T,1165.0,0.0008583690987124,1.0,1164.0,2448.0,0.0012254901960784,3.0,2445.0
MALAT1_F,123,T,1165.0,0.0025751072961373,3.0,1162.0,2448.0,0.0024509803921568,6.0,2442.0
MALAT1_F,128,T,1165.0,0.0042918454935622,5.0,1160.0,2448.0,0.0032679738562091,8.0,2440.0
MALAT1_F,129,T,1165.0,0.0042918454935622,5.0,1160.0,2448.0,0.0053104575163398,13.0,2435.0
MALAT1_F,133,T,1165.0,0.0008583690987124,1.0,1164.0,2448.0,0.0,0.0,2448.0
MALAT1_F,136,T,1165.0,0.0051502145922746,6.0,1159.0,2448.0,0.0044934640522875,11.0,2437.0
MALAT1_F,141,T,1165.0,0.0094420600858369,11.0,1154.0,2447.0,0.0220678381691867,53.99999999999999,2393.0
MALAT1_F,144,T,1164.0,0.0,0.0,1164.0,2444.0,0.0008183306055646,2.0,2442.0
MALAT1_F,149,T,1150.0,0.0113043478260869,13.0,1137.0,2419.0,0.0119884249689954,29.0,2390.0
MALAT1_F,150,T,1149.0,0.0034812880765883,4.0,1145.0,2416.0,0.0024834437086092,6.0,2410.0
MALAT1_F,154,T,1149.0,0.0322019147084421,37.0,1112.0,2411.0,0.0223973454997926,54.0,2357.0
MALAT1_F,163,T,1141.0,0.0070113935144609,8.0,1133.0,2404.0,0.0083194675540765,20.0,2384.0
MALAT1_F,164,T,1137.0,0.0149516270888302,17.0,1120.0,2397.0,0.0196078431372549,47.0,2350.0
MALAT1_F,165,T,1135.0,0.0017621145374449,2.0,1133.0,2391.0,0.001254705144291,3.0,2388.0
MALAT1_F,169,T,1112.0,0.0107913669064748,12.0,1100.0,2357.0,0.0097581671616461,23.0,2334.0
MALAT1_F,171,T,1068.0,0.0430711610486891,46.0,1022.0,2254.0,0.0408163265306122,92.0,2162.0
MALAT1_F,172,T,1052.0,0.1330798479087452,140.0,912.0,2228.0,0.1404847396768402,313.0,1915.0
MALAT1_F,173,T,1047.0,0.1155682903533906,121.0,926.0,2211.0,0.0949796472184531,210.0,2001.0
MALAT1_F,178,T,1012.0,0.0118577075098814,12.0,1000.0,2166.0,0.0133887349953831,29.0,2137.0
